,sym1,sym2
1823,583,58
1824,583,435
1825,583,852
1826,583,594
1827,583,55
1828,583,744
1829,583,95
1830,583,46
1831,583,224
1832,583,799
1833,583,633
1834,583,63
1835,583,532
1836,583,741
1837,583,154
1838,305,182
1839,305,81
1840,305,277
1841,305,82
1842,305,736
1843,305,192
1844,305,1033
1845,305,493
1846,305,710
1847,305,12
1848,305,296
1849,305,729
1850,305,75
1851,305,226
1852,305,282
1853,305,241
1854,305,694
1855,305,234
1856,305,592
1857,305,435
1858,305,273
1859,305,832
1860,305,939
1861,305,1032
1862,305,784
1863,305,87
1864,305,774
1865,305,348
1866,305,574
1867,305,852
1868,305,300
1869,305,971
1870,305,594
1871,305,281
1872,305,292
1873,305,55
1874,305,381
1875,305,64
1876,305,288
1877,305,399
1878,305,931
1879,305,744
1880,305,15
1881,305,27
1882,305,216
1883,305,655
1884,305,696
1885,305,833
1886,305,749
1887,305,698
1888,305,95
1889,305,454
1890,305,346
1891,305,783
1892,305,240
1893,305,166
1894,305,243
1895,305,588
1896,305,92
1897,305,566
1898,305,765
1899,305,695
1900,305,46
1901,305,204
1902,305,224
1903,305,1034
1904,305,88
1905,305,494
1906,305,63
1907,305,902
1908,305,973
1909,305,734
1910,305,569
1911,305,352
1912,305,603
1913,305,291
1914,305,366
1915,305,461
1916,305,394
1917,305,289
1918,305,19
1919,305,720
1920,305,254
1921,305,555
1922,305,269
1923,305,900
1924,305,950
1925,305,436
1926,305,699
1927,305,972
1928,305,470
1929,305,246
1930,305,766
1931,305,897
1932,305,672
1933,305,33
1934,305,500
1935,305,928
1936,305,845
1937,305,532
1938,305,741
1939,305,205
1940,305,1035
1941,305,70
1942,305,24
1943,305,492
1944,305,154
1945,305,876
1946,305,997
1947,305,930
1948,305,321
1949,371,615
1950,371,182
1951,371,81
1952,371,1049
1953,371,795
1954,371,82
1955,371,192
1956,371,428
1957,371,179
1958,371,493
1959,371,12
1960,371,296
1961,371,75
1962,371,782
1963,371,58
1964,371,1000
1965,371,234
1966,371,435
1967,371,273
1968,371,1032
1969,371,87
1970,371,800
1971,371,574
1972,371,852
1973,371,971
1974,371,303
1975,371,594
1976,371,292
1977,371,55
1978,371,64
1979,371,288
1980,371,931
1981,371,744
1982,371,216
1983,371,95
1984,371,454
1985,371,346
1986,371,322
1987,371,240
1988,371,243
1989,371,458
1990,371,765
1991,371,46
1992,371,224
1993,371,799
1994,371,88
1995,371,494
1996,371,323
1997,371,258
1998,371,633
1999,371,63
2000,371,734
2001,371,352
2002,371,291
2003,371,616
2004,371,461
2005,371,289
2006,371,450
2007,371,720
2008,371,254
2009,371,245
2010,371,555
2011,371,950
2012,371,683
2013,371,436
2014,371,525
2015,371,824
2016,371,246
2017,371,360
2018,371,135
2019,371,626
2020,371,33
2021,371,500
2022,371,928
2023,371,845
2024,371,532
2025,371,741
2026,371,127
2027,371,24
2028,371,492
2029,371,154
2030,371,876
2031,371,930
2032,371,321
2033,949,947
2034,192,81
2035,192,789
2036,192,1049
2037,192,82
2038,192,114
2039,192,305
2040,192,371
2041,192,505
2042,192,797
2043,192,710
2044,192,12
2045,192,296
2046,192,220
2047,192,75
2048,192,226
2049,192,782
2050,192,489
2051,192,282
2052,192,523
2053,192,435
2054,192,644
2055,192,211
2056,192,87
2057,192,574
2058,192,852
2059,192,303
2060,192,594
2061,192,292
2062,192,55
2063,192,64
2064,192,931
2065,192,744
2066,192,39
2067,192,80
2068,192,731
2069,192,216
2070,192,655
2071,192,149
2072,192,95
2073,192,454
2074,192,206
2075,192,322
2076,192,243
2077,192,92
2078,192,46
2079,192,295
2080,192,224
2081,192,88
2082,192,323
2083,192,846
2084,192,63
2085,192,352
2086,192,291
2087,192,366
2088,192,616
2089,192,461
2090,192,289
2091,192,450
2092,192,357
2093,192,245
2094,192,379
2095,192,555
2096,192,118
2097,192,269
2098,192,950
2099,192,436
2100,192,180
2101,192,525
2102,192,153
2103,192,246
2104,192,360
2105,192,135
2106,192,645
2107,192,897
2108,192,928
2109,192,532
2110,192,689
2111,192,741
2112,192,120
2113,192,127
